1,"28",,"Radom","Polska","96-115","Ulica nr74","Firma nr1","1234000010","237938160",1
2,"62",,"Zarze","Polska","89-0000","Ulica nr82","Firma nr2","1234000020","536414984",2
3,"26",,"Poznań","Polska","51-906","Ulica nr56","Firma nr3","1234000030","1025023383",3
4,"65",,"Zielona Góra","Polska","11-961","Ulica nr65","Firma nr4","1234000040","778988529",4
5,"37",,"Włocławek","Polska","65-661","Ulica nr23","Firma nr5","1234000050","831251308",5
6,"15",,"Zielona Góra","Polska","74-950","Ulica nr83","Firma nr6","1234000060","827603755",6
7,"90",,"Sosnowiec","Polska","51-577","Ulica nr19","Firma nr7","1234000070","110621178",7
8,"51",,"Koszalin","Polska","52-880","Ulica nr46","Firma nr8","1234000080","996834006",8
9,"85",,"Sosnowiec","Polska","57-523","Ulica nr6","Firma nr9","1234000090","804318411",9
10,"58",,"Zarze","Polska","78-576","Ulica nr80","Firma nr10","1234000100","868675937",10
11,"41",,"Rybnik","Polska","93-686","Ulica nr95","Firma nr11","1234000110","555567958",11
12,"85",,"Gorzów Wlp","Polska","93-713","Ulica nr53","Firma nr12","1234000120","670428359",12
13,"47",,"Sosnowiec","Polska","38-908","Ulica nr95","Firma nr13","1234000130","121367932",13
14,"50",,"Kielce","Polska","88-568","Ulica nr70","Firma nr14","1234000140","605499835",14
15,"22",,"Bytom","Polska","95-358","Ulica nr86","Firma nr15","1234000150","995278950",15
16,"88",,"Olsztyn","Polska","45-845","Ulica nr87","Firma nr16","1234000160","573487046",16
17,"87",,"Włocławek","Polska","97-614","Ulica nr15","Firma nr17","1234000170","860425536",17
18,"37",,"Chorzów","Polska","40-068","Ulica nr8","Firma nr18","1234000180","702189291",18
19,"89",,"Łódź","Polska","22-843","Ulica nr16","Firma nr19","1234000190","776316040",19
20,"47",,"Toruń","Polska","78-149","Ulica nr54","Firma nr20","1234000200","400915680",20
21,"89",,"Poznań","Polska","51-574","Ulica nr49","Firma nr21","1234000210","1037852617",21
22,"61",,"Lublin","Polska","41-841","Ulica nr9","Firma nr22","1234000220","797310687",22
23,"45",,"Łódź","Polska","75-384","Ulica nr49","Firma nr23","1234000230","198719961",23
24,"31",,"Wałbrzych","Polska","91-857","Ulica nr9","Firma nr24","1234000240","416608193",24
25,"30",,"Zarze","Polska","34-575","Ulica nr99","Firma nr25","1234000250","170786293",25
26,"53",,"Wałbrzych","Polska","10-116","Ulica nr13","Firma nr26","1234000260","188285066",26
27,"77",,"Gdynia","Polska","14-915","Ulica nr30","Firma nr27","1234000270","370289879",27
28,"65",,"Tychy","Polska","45-941","Ulica nr52","Firma nr28","1234000280","525476664",28
29,"54",,"Katowice","Polska","44-529","Ulica nr71","Firma nr29","1234000290","576285860",29
30,"79",,"Warszawa","Polska","32-181","Ulica nr56","Firma nr30","1234000300","816237551",30
31,"20",,"Koszalin","Polska","62-116","Ulica nr54","Firma nr31","1234000310","998014962",31
32,"65",,"Tarnów","Polska","15-017","Ulica nr36","Firma nr32","1234000320","406599218",32
33,"3",,"Gliwice","Polska","16-794","Ulica nr74","Firma nr33","1234000330","469658579",33
34,"68",,"Nowy Sącz","Polska","99-554","Ulica nr10","Firma nr34","1234000340","299437171",34
35,"96",,"Toruń","Polska","78-126","Ulica nr88","Firma nr35","1234000350","856586152",35
36,"34",,"Kalisz","Polska","71-623","Ulica nr10","Firma nr36","1234000360","594537988",36
37,"11",,"Grudziądz","Polska","37-129","Ulica nr36","Firma nr37","1234000370","806492561",37
38,"57",,"Nowy Sącz","Polska","82-854","Ulica nr57","Firma nr38","1234000380","667296229",38
39,"27",,"Bytom","Polska","34-289","Ulica nr33","Firma nr39","1234000390","948979980",39
40,"36",,"Rzeszów","Polska","94-677","Ulica nr54","Firma nr40","1234000400","783676068",40
41,"66",,"Kraków","Polska","80-950","Ulica nr29","Firma nr41","1234000410","782207395",41
42,"61",,"Ruda Śląska","Polska","84-863","Ulica nr98","Firma nr42","1234000420","158930789",42
43,"38",,"Płock","Polska","14-448","Ulica nr5","Firma nr43","1234000430","604552645",43
44,"32",,"Bielsko-Biała","Polska","38-091","Ulica nr91","Firma nr44","1234000440","974494730",44
45,"88",,"Gdynia","Polska","38-157","Ulica nr34","Firma nr45","1234000450","887177150",45
46,"84",,"Kalisz","Polska","39-679","Ulica nr94","Firma nr46","1234000460","650191476",46
47,"49",,"Kielce","Polska","35-823","Ulica nr91","Firma nr47","1234000470","261419721",47
48,"77",,"Szczecin","Polska","71-268","Ulica nr91","Firma nr48","1234000480","751378672",48
49,"72",,"Tychy","Polska","39-403","Ulica nr55","Firma nr49","1234000490","155761227",49
50,"14",,"Sosnowiec","Polska","65-554","Ulica nr90","Firma nr50","1234000500","806483381",50
51,"66",,"Opole","Polska","41-724","Ulica nr49","Firma nr51","1234000510","325393699",51
52,"44",,"Kielce","Polska","06-332","Ulica nr84","Firma nr52","1234000520","710704530",52
53,"41",,"Kalisz","Polska","97-791","Ulica nr76","Firma nr53","1234000530","188442918",53
54,"48",,"Szczecin","Polska","75-663","Ulica nr39","Firma nr54","1234000540","979021229",54
55,"99",,"Kraków","Polska","90-968","Ulica nr78","Firma nr55","1234000550","832209071",55
56,"22",,"Łódź","Polska","66-043","Ulica nr19","Firma nr56","1234000560","424241263",56
57,"94",,"Gorzów Wlp","Polska","52-626","Ulica nr98","Firma nr57","1234000570","355303003",57
58,"43",,"Radom","Polska","74-803","Ulica nr94","Firma nr58","1234000580","631485316",58
